modelo_aeronave,idade_aeronave_anos,horas_voo_total,tipo_motor,companhia_aerea,ultima_manutencao_meses,ciclos_pouso_decolagem,temperatura_media_operacao,falha_critica,tipo_falha
Airbus A330,6,32772,Turbojato,United,11,4640,-37.49451006942195,0.0,Nenhuma
Boeing 777,18,1382,Turbojato,LATAM,15,3546,-24.847748573454254,1.0,Outros
Embraer E190,19,38029,Turboprop,American,19,3967,43.848056712272594,1.0,Instrumentos
Bombardier CRJ,22,39135,Turbofan,GOL,16,4892,20.781491227110934,1.0,Estrutural
Airbus A330,5,30035,Turbojato,Delta,22,2534,12.24449511963266,0.0,Nenhuma
Boeing 777,24,13369,Turboprop,Azul,21,1904,-36.00168045974643,1.0,Elétrico
Airbus A350,9,7666,Turbojato,GOL,20,3489,34.72436903090201,0.0,Nenhuma
Boeing 787,27,13482,Turbojato,American,12,3281,29.084332530258564,0.0,Nenhuma
Airbus A350,3,41197,Turbojato,LATAM,18,2647,16.50800372870222,1.0,APU
Bombardier CRJ,28,38615,Turboprop,GOL,23,4033,-11.17388068380027,0.0,Nenhuma
Airbus A330,10,7769,Turbofan,GOL,13,2241,-34.00707877669813,1.0,Outros
Bombardier CRJ,19,28564,Turbofan,United,5,2685,9.303271471578412,0.0,Nenhuma
Embraer E190,3,14027,Turbofan,Emirates,4,706,21.174038574171185,0.0,Nenhuma
Airbus A320,29,2954,Turbojato,Delta,14,3862,-31.989570209433968,1.0,Sistema Hidráulico
Airbus A330,29,21378,Turboprop,Azul,8,3390,13.870251082872151,0.0,Nenhuma
Airbus A320,22,13491,Turbojato,Azul,9,3961,-15.658884229591521,0.0,Nenhuma
Boeing 777,15,3308,Turbofan,British,19,1846,24.960758803684,0.0,Nenhuma
Boeing 787,1,39910,Turbofan,LATAM,3,4413,5.867347301156151,1.0,Sistema de Pouso
Boeing 737,7,37093,Turboprop,British,5,1812,-29.03187303611288,0.0,Nenhuma
Bombardier CRJ,12,36804,Turbojato,American,21,4522,4.7541530573250625,1.0,Instrumentos
Airbus A350,17,30886,Turbofan,LATAM,18,3335,-6.362366613828918,0.0,Nenhuma
Boeing 787,21,48577,Turboprop,GOL,1,1635,-24.669742696059586,0.0,Nenhuma
Airbus A330,26,4302,Turbojato,Emirates,8,3613,31.52883654528047,0.0,Nenhuma
Airbus A320,29,29253,Turbojato,GOL,19,2490,-39.06258187757342,1.0,Estrutural
Airbus A350,24,21583,Turbofan,Azul,17,4634,-13.469096465360995,1.0,Sistema Hidráulico
Airbus A320,20,18854,Turbofan,American,17,4867,-38.929421755598725,0.0,Nenhuma
Embraer E190,5,22690,Turbojato,Delta,11,3150,-31.83940954697702,0.0,Nenhuma
Airbus A320,4,6642,Turbojato,American,2,3294,-14.74682137028811,0.0,Nenhuma
Embraer E190,28,28898,Turbofan,GOL,6,1090,-35.386949241903245,1.0,Sistema Hidráulico
Boeing 777,12,42362,Turbojato,Delta,22,3177,10.713595250356995,0.0,Nenhuma
Airbus A350,20,33632,Turbofan,American,14,2323,-32.61665282117446,1.0,Pressurização
Airbus A350,28,20003,Turbojato,Emirates,3,3679,19.64565889561809,0.0,Nenhuma
Boeing 737,24,48956,Turbofan,Emirates,12,2164,-35.525420426691305,0.0,Nenhuma
Airbus A330,18,35131,Turboprop,American,4,1727,-34.958743941906775,0.0,Nenhuma
Embraer E190,17,16999,Turbofan,Delta,12,3144,-14.04729858217236,0.0,Nenhuma
Boeing 737,19,40352,Turbofan,GOL,13,1048,36.208579622388584,1.0,Motor
Airbus A320,9,8516,Turboprop,American,2,2334,14.518426141481903,0.0,Nenhuma
Airbus A320,4,2884,Turbojato,Delta,2,1639,25.461159813958147,0.0,Nenhuma
Boeing 737,26,15572,Turboprop,United,15,1211,-27.968070694445984,0.0,Nenhuma
Airbus A350,21,37203,Turbofan,Emirates,23,2570,30.90066182601589,1.0,Sistema Hidráulico
Airbus A320,2,46395,Turbojato,United,17,3905,-39.307568903490015,1.0,APU
Bombardier CRJ,4,14982,Turboprop,GOL,7,4698,-21.89012518769448,0.0,Nenhuma
Boeing 777,2,41010,Turbojato,Delta,14,744,12.367847297749442,1.0,Motor
Boeing 777,15,49433,Turbojato,United,12,4462,-8.104055269505722,1.0,APU
Bombardier CRJ,2,22326,Turboprop,Delta,17,4913,43.656438296077894,1.0,Pressurização
Boeing 737,4,2990,Turbojato,American,14,3848,-37.42116402044295,0.0,Nenhuma
Bombardier CRJ,6,46592,Turboprop,GOL,6,3733,44.880844274606176,1.0,Motor
Embraer E190,7,26018,Turbofan,United,19,2021,13.008365793211865,0.0,Nenhuma
Embraer E190,10,24545,Turbojato,British,6,1553,7.490094540668203,0.0,Nenhuma
Boeing 737,19,27410,Turbofan,American,18,3299,-34.94144238206218,0.0,Nenhuma
Bombardier CRJ,19,25066,Turbofan,Emirates,5,4268,-16.767045483399293,0.0,Nenhuma
Embraer E190,26,34405,Turbojato,British,6,3292,38.59632850478563,1.0,Sistema Hidráulico
Airbus A350,22,27603,Turboprop,British,2,1918,-9.889089728914236,1.0,Sistema Hidráulico
Bombardier CRJ,29,36688,Turbojato,LATAM,8,1721,16.240522039716332,0.0,Nenhuma
Airbus A350,12,6345,Turbofan,LATAM,15,1132,44.95718978559134,1.0,Outros
Embraer E190,3,21662,Turbofan,GOL,15,1778,-17.639074324149,0.0,Nenhuma
Boeing 777,13,37174,Turboprop,United,11,3901,8.96687471623197,0.0,Nenhuma
Embraer E190,18,19837,Turbojato,United,22,2192,19.197212379688118,1.0,Comunicações
Airbus A350,8,22813,Turbofan,United,22,1198,-26.00668404193971,0.0,Nenhuma
Boeing 787,21,27443,Turbofan,Delta,1,303,-27.36283208582452,0.0,Nenhuma
Airbus A330,15,12913,Turbofan,American,18,4152,-1.213827509055271,1.0,Sistema de Pouso
Airbus A320,1,776,Turboprop,United,12,3592,-7.205935650460404,0.0,Nenhuma
Bombardier CRJ,3,18111,Turbofan,American,12,2825,20.708312132871676,0.0,Nenhuma
Boeing 787,26,39605,Turbofan,GOL,11,4687,-34.09175442687017,0.0,Nenhuma
Embraer E190,8,12444,Turbojato,British,8,3383,42.634163017958684,0.0,Nenhuma
Boeing 777,4,16406,Turbojato,United,7,4234,-38.78645655670425,0.0,Nenhuma
Boeing 737,16,21036,Turbofan,GOL,23,3329,11.111930068572853,0.0,Nenhuma
Embraer E190,23,28310,Turbofan,United,21,4358,7.823770648728008,1.0,Sistema Hidráulico
Boeing 777,10,12806,Turbojato,LATAM,2,2931,-28.54916287607331,0.0,Nenhuma
Airbus A330,12,11003,Turboprop,Azul,11,315,-27.172141469349967,0.0,Nenhuma
Embraer E190,14,19725,Turboprop,GOL,22,2390,27.377586462543277,0.0,Nenhuma
Airbus A350,14,37476,Turboprop,United,10,3198,35.44280896507806,1.0,Sistema de Pouso
Boeing 737,2,12090,Turboprop,Emirates,3,3409,-15.943557899879586,1.0,Outros
Boeing 777,23,11386,Turboprop,Azul,20,1054,-2.773063063181681,0.0,Nenhuma
Boeing 777,5,13366,Turboprop,GOL,10,2144,-9.825421511739947,0.0,Nenhuma
Boeing 777,5,1588,Turboprop,Emirates,18,4767,-33.83350389613459,1.0,Outros
Airbus A330,6,3863,Turboprop,Emirates,14,3321,17.2223609113438,0.0,Nenhuma
Embraer E190,13,33292,Turbojato,Delta,18,4572,30.14139945848366,1.0,Outros
Airbus A330,9,10264,Turboprop,Emirates,8,259,-14.0852546217474,0.0,Nenhuma
Bombardier CRJ,22,21120,Turboprop,United,10,937,44.16494245861105,1.0,Sistema Hidráulico
Airbus A320,28,43227,Turboprop,Delta,22,203,-33.55261763099983,1.0,Sistema Hidráulico
Airbus A320,29,13435,Turbofan,LATAM,13,3643,16.252210674234277,0.0,Nenhuma
Bombardier CRJ,15,8568,Turbojato,United,21,464,-1.900618765282438,0.0,Nenhuma
Embraer E190,14,7795,Turbojato,British,8,3474,-2.03883840593425,0.0,Nenhuma
Airbus A350,24,41660,Turbojato,Emirates,4,1334,-1.1001226371490773,0.0,Nenhuma
Airbus A330,7,11890,Turboprop,LATAM,4,3198,-18.012049226878585,0.0,Nenhuma
Boeing 737,25,41716,Turboprop,Azul,5,818,20.822840323239753,1.0,Sistema Hidráulico
Boeing 777,20,20631,Turbofan,GOL,1,1032,21.334004717227288,1.0,Outros
Boeing 777,2,29718,Turbojato,Emirates,17,3252,-15.996245641004702,1.0,Sistema de Pouso
Embraer E190,7,10933,Turboprop,American,2,4724,31.001049172968266,0.0,Nenhuma
Airbus A350,6,15538,Turbojato,LATAM,8,3576,-13.068179789721949,0.0,Nenhuma
Airbus A320,17,28682,Turbofan,American,7,2837,21.63291553885609,0.0,Nenhuma
Airbus A320,27,12028,Turbofan,Emirates,15,2260,-29.715019761474352,1.0,Elétrico
Boeing 777,25,21781,Turbofan,American,5,1088,-25.66036036168162,0.0,Nenhuma
Embraer E190,25,49011,Turbojato,Emirates,2,3982,-13.157370216798654,1.0,Sistema Hidráulico
Airbus A330,28,9105,Turboprop,GOL,7,591,10.479270251768227,1.0,Estrutural
Airbus A320,2,35282,Turboprop,Azul,8,408,14.868476265689438,1.0,Outros
Airbus A330,3,1881,Turbofan,GOL,7,899,-6.30972538276464,0.0,Nenhuma
Airbus A350,5,1598,Turboprop,United,7,4572,-33.383671985606306,1.0,Sistema de Pouso
Airbus A320,5,20310,Turbofan,LATAM,14,2594,-8.241054572118436,0.0,Nenhuma
Airbus A320,1,24822,Turbojato,American,21,4631,18.54523885652788,0.0,Nenhuma
Boeing 787,8,42369,Turbofan,GOL,18,1881,17.034614196076852,0.0,Nenhuma
Airbus A320,12,33455,Turbojato,Emirates,6,1522,-26.383304877537366,0.0,Nenhuma
Bombardier CRJ,24,45216,Turbofan,GOL,4,1486,-39.33836252713779,0.0,Nenhuma
Boeing 737,4,10707,Turboprop,GOL,10,379,24.003437470169928,0.0,Nenhuma
Bombardier CRJ,13,22293,Turboprop,LATAM,18,4404,-30.958705857254284,1.0,Outros
Embraer E190,23,2592,Turbofan,Azul,12,4288,-33.00032276303573,1.0,Sistema Hidráulico
Embraer E190,15,28720,Turboprop,British,16,4058,-39.77039656909611,1.0,Pressurização
Airbus A330,11,19014,Turboprop,GOL,7,4772,-3.228887293661188,0.0,Nenhuma
Bombardier CRJ,10,38510,Turboprop,LATAM,6,1438,2.777431576569228,0.0,Nenhuma
Bombardier CRJ,3,9049,Turbojato,American,5,4235,14.201443922630204,0.0,Nenhuma
Bombardier CRJ,22,22531,Turboprop,Emirates,3,769,-14.834573539430203,0.0,Nenhuma
Airbus A350,14,5685,Turbojato,United,12,3285,20.386100892876293,0.0,Nenhuma
Airbus A320,16,15771,Turbofan,British,15,4626,-25.606792120409967,0.0,Nenhuma
Boeing 737,10,6276,Turboprop,Delta,10,2181,30.719154514379525,0.0,Nenhuma
Airbus A330,29,12949,Turboprop,British,20,1150,8.607107955687873,0.0,Nenhuma
Bombardier CRJ,10,24797,Turboprop,Emirates,19,722,9.630634986624116,1.0,Sistemas de Navegação
Bombardier CRJ,12,41091,Turbofan,British,16,566,-22.16908982877581,0.0,Nenhuma
Boeing 787,9,16217,Turbojato,Emirates,11,2582,-33.700756309466996,0.0,Nenhuma
Airbus A330,1,40623,Turbojato,LATAM,8,3720,-0.4983917381429279,1.0,Sistema de Combustível
Bombardier CRJ,5,39733,Turboprop,Delta,3,831,12.327015913400508,0.0,Nenhuma
Airbus A330,20,46005,Turbofan,GOL,23,3573,-31.921051013756724,1.0,Motor
Airbus A320,8,46592,Turbofan,GOL,7,3608,40.795430334894164,1.0,Motor
Boeing 787,11,10850,Turbofan,British,23,2436,43.33522061978857,0.0,Nenhuma
Airbus A330,12,31122,Turbofan,LATAM,7,4832,6.363819108361817,0.0,Nenhuma
Boeing 737,1,35823,Turbofan,Delta,14,1639,40.75587819823953,0.0,Nenhuma
Boeing 737,25,3451,Turbojato,GOL,2,1551,-24.74715480562749,1.0,Estrutural
Embraer E190,22,18122,Turbojato,American,10,3844,-37.83924175974038,1.0,Sistema Hidráulico
Boeing 787,20,5227,Turbojato,Azul,19,4368,-36.650189500316856,1.0,Instrumentos
Boeing 787,28,38954,Turboprop,Azul,9,3130,9.93856075127622,0.0,Nenhuma
Embraer E190,25,36969,Turbofan,GOL,16,1126,-34.76043990787,0.0,Nenhuma
Airbus A330,11,36048,Turboprop,Delta,19,1150,41.4763765800474,0.0,Nenhuma
Boeing 787,5,24282,Turbofan,United,18,552,-27.935677085451122,0.0,Nenhuma
Boeing 737,15,28954,Turbojato,GOL,9,1389,-14.098561485496816,0.0,Nenhuma
Boeing 737,5,2868,Turboprop,United,16,3935,29.914013169859615,1.0,Sistema de Pouso
Bombardier CRJ,12,16092,Turbojato,United,13,673,-21.40707253615209,1.0,Sistema de Pouso
Airbus A320,5,22673,Turbofan,Emirates,10,1936,-19.3476810313615,0.0,Nenhuma
Boeing 787,17,33704,Turbofan,Emirates,20,3400,14.596261242236551,1.0,Comunicações
Airbus A330,17,36096,Turbofan,Delta,14,1100,-16.532682478412703,0.0,Nenhuma
Embraer E190,24,34824,Turbojato,United,12,3822,-21.516951109345477,0.0,Nenhuma
Embraer E190,12,46632,Turbofan,American,19,3966,-18.394894284019113,1.0,Sistema de Combustível
Airbus A330,24,24364,Turbojato,Delta,7,4068,1.7050374439617784,1.0,Estrutural
Airbus A350,28,48329,Turboprop,GOL,23,1379,42.11848918217598,1.0,Elétrico
Boeing 777,15,31250,Turbofan,British,15,4164,30.7402250327044,1.0,Pressurização
Airbus A320,15,11076,Turbofan,American,16,3417,-15.808127512384942,1.0,Sistema de Pouso
Embraer E190,6,17066,Turbofan,LATAM,8,4001,-9.113277277661691,0.0,Nenhuma
Boeing 787,12,7690,Turboprop,Azul,10,2547,-0.5164587071534186,0.0,Nenhuma
Airbus A320,27,23571,Turbofan,GOL,4,1623,43.209019996444184,0.0,Nenhuma
Boeing 787,29,38833,Turbojato,GOL,19,2684,-25.346810191464165,1.0,Estrutural
Airbus A350,20,15869,Turbojato,GOL,19,2818,-9.613936203189958,0.0,Nenhuma
Boeing 737,18,24535,Turbofan,American,21,1261,22.00121798853077,0.0,Nenhuma
Airbus A320,14,2089,Turbofan,LATAM,15,825,41.93521741286018,1.0,Sistema de Pouso
Bombardier CRJ,2,25735,Turboprop,British,14,1210,-26.7676069150398,0.0,Nenhuma
Embraer E190,9,659,Turboprop,Delta,1,2433,-20.67270389348061,0.0,Nenhuma
Airbus A320,5,12645,Turboprop,Emirates,16,2704,-20.81595267681343,0.0,Nenhuma
Airbus A320,20,15873,Turbofan,LATAM,10,3590,-38.22077749317375,0.0,Nenhuma
Airbus A320,26,32421,Turboprop,American,19,4747,11.34982812338071,1.0,Elétrico
Boeing 777,29,39823,Turboprop,GOL,22,4685,17.009761302400975,0.0,Nenhuma
Airbus A320,1,16737,Turbojato,Azul,3,1145,11.214700660646535,0.0,Nenhuma
Boeing 787,23,42471,Turboprop,GOL,5,73,-33.93754589991078,1.0,Elétrico
Boeing 737,3,8744,Turbojato,Delta,9,4769,-34.11543931162131,0.0,Nenhuma
Airbus A350,6,15243,Turbojato,United,18,3606,-22.11714286799946,0.0,Nenhuma
Airbus A330,5,32066,Turboprop,Azul,11,1129,-15.324966165592258,0.0,Nenhuma
Airbus A320,21,46601,Turbojato,GOL,16,4368,26.85621075235403,0.0,Nenhuma
Embraer E190,27,46609,Turbofan,British,2,228,-26.451827411341704,1.0,Sistema Hidráulico
Airbus A320,5,19191,Turbofan,Azul,12,2897,-36.25216160620977,0.0,Nenhuma
Embraer E190,1,34496,Turboprop,United,22,2010,-6.511061844390312,0.0,Nenhuma
Boeing 787,17,6090,Turbofan,Emirates,6,1523,-4.60666553793677,0.0,Nenhuma
Embraer E190,19,6085,Turbojato,LATAM,11,4938,-1.6728762539388882,0.0,Nenhuma
Bombardier CRJ,14,9727,Turbofan,American,8,1262,30.286801242292327,0.0,Nenhuma
Airbus A330,12,28778,Turboprop,Emirates,12,859,-31.669539735969956,0.0,Nenhuma
Boeing 737,10,39314,Turboprop,GOL,2,469,19.83507700586678,0.0,Nenhuma
Embraer E190,20,12737,Turbojato,Delta,9,3709,-11.274626461150284,1.0,Outros
Embraer E190,21,16149,Turboprop,LATAM,15,3866,-13.651688402985055,1.0,Sistema Hidráulico
Boeing 737,18,38213,Turbofan,Emirates,2,1328,39.2661657173083,0.0,Nenhuma
Airbus A330,24,8427,Turboprop,GOL,1,2573,-18.880175424576926,0.0,Nenhuma
Airbus A320,27,45909,Turbojato,LATAM,10,1490,14.615206003846133,1.0,Estrutural
Embraer E190,11,49266,Turboprop,Emirates,2,1390,-16.614140623032174,1.0,Sistema de Combustível
Boeing 737,2,46654,Turbofan,Delta,12,2271,3.107230024432738,0.0,Nenhuma
Bombardier CRJ,25,7516,Turbojato,GOL,23,2442,26.834895870683624,1.0,Estrutural
Bombardier CRJ,18,14527,Turbofan,United,8,1411,34.94641449888215,1.0,Outros
Boeing 787,29,49188,Turbojato,United,5,641,31.28926542507928,1.0,Estrutural
Boeing 737,25,24642,Turboprop,Delta,22,576,9.485362572294385,0.0,Nenhuma
Boeing 787,7,47020,Turbojato,Azul,1,2553,-18.850613196251118,1.0,Sistema de Combustível
Bombardier CRJ,24,24045,Turbojato,Delta,15,1342,16.204837577258587,1.0,Elétrico
Airbus A330,15,32397,Turboprop,Azul,6,1704,20.341928891266683,1.0,Pressurização
Airbus A320,11,3667,Turbofan,GOL,12,4956,-39.09118084035238,0.0,Nenhuma
Boeing 737,18,45257,Turboprop,Emirates,8,237,-2.667106570790658,0.0,Nenhuma
Airbus A350,23,27417,Turbojato,Azul,13,2808,31.67727363984997,1.0,Elétrico
Bombardier CRJ,12,23236,Turboprop,GOL,19,578,1.6149456806590266,0.0,Nenhuma
Bombardier CRJ,6,28490,Turbojato,GOL,1,483,-13.533087416117702,0.0,Nenhuma
Airbus A350,20,14587,Turboprop,British,11,3562,34.10281053709633,0.0,Nenhuma
Boeing 777,23,22940,Turboprop,American,20,1854,-26.750140709966516,1.0,Elétrico
Bombardier CRJ,13,35705,Turbofan,GOL,1,352,-22.45215524462297,0.0,Nenhuma
Embraer E190,20,15775,Turbojato,Azul,8,4232,18.426651189571338,0.0,Nenhuma
Airbus A330,16,5776,Turbofan,American,5,487,-10.042944970241127,0.0,Nenhuma
Boeing 737,18,42127,Turbojato,American,17,2638,20.60643103737121,0.0,Nenhuma
Airbus A350,10,41086,Turboprop,GOL,8,882,-26.595192192943188,0.0,Nenhuma
Embraer E190,28,37996,Turbojato,Delta,10,846,-18.557127383928098,0.0,Nenhuma
Airbus A350,23,19508,Turbofan,Delta,2,609,-26.684972839091152,0.0,Nenhuma
Boeing 737,8,6238,Turbofan,United,9,3638,40.997376652898325,0.0,Nenhuma
Boeing 787,18,32902,Turbofan,American,23,811,-5.540663327671453,0.0,Nenhuma
Boeing 737,21,6293,Turbojato,GOL,3,3624,-11.33630765763079,1.0,Sistema Hidráulico
Boeing 777,1,37791,Turbofan,British,18,3835,-38.792816725485,0.0,Nenhuma
Boeing 737,23,6071,Turbofan,Delta,7,2564,-26.95950575007457,0.0,Nenhuma
Boeing 737,8,31831,Turbofan,British,15,734,-4.203452219387543,0.0,Nenhuma
Boeing 777,29,16709,Turboprop,GOL,21,4283,-34.177262631389006,0.0,Nenhuma
Airbus A330,6,48514,Turboprop,GOL,22,627,3.412843008028439,0.0,Nenhuma
Bombardier CRJ,5,25894,Turbojato,Emirates,20,4855,-1.3236877305219394,0.0,Nenhuma
Boeing 737,15,43648,Turbojato,American,18,277,25.209291929269924,0.0,Nenhuma
Boeing 777,22,26182,Turbofan,Emirates,3,2378,16.08322961902691,0.0,Nenhuma
Embraer E190,15,2724,Turboprop,British,23,2781,-2.0944790477512285,0.0,Nenhuma
Boeing 787,2,41657,Turbofan,Emirates,14,877,-20.903840491068927,1.0,APU
Boeing 787,1,49195,Turbofan,United,2,480,21.783403111513536,1.0,Motor
Boeing 737,23,44952,Turboprop,American,14,1113,20.168278793607357,1.0,Elétrico
Airbus A330,23,43908,Turboprop,LATAM,22,1759,-26.96982635619207,1.0,Sistema Hidráulico
Airbus A330,26,32941,Turboprop,Emirates,11,1284,37.75390567115923,0.0,Nenhuma
Embraer E190,11,41930,Turbojato,British,16,351,-34.52556513872133,1.0,Sistema de Combustível
Boeing 737,10,39629,Turbojato,Delta,8,1470,-35.321794744119124,1.0,Pressurização
Boeing 787,18,35216,Turbofan,Delta,7,4678,-24.075214498693704,0.0,Nenhuma
Airbus A330,18,45359,Turbojato,Delta,11,818,37.30416783414556,0.0,Nenhuma
Boeing 737,17,27086,Turboprop,Azul,3,1454,4.19984054313835,0.0,Nenhuma
Airbus A350,26,45260,Turboprop,GOL,17,493,26.97497825719651,1.0,Estrutural
Airbus A330,8,23978,Turbojato,American,14,3154,-20.63332901349745,0.0,Nenhuma
Boeing 777,15,6818,Turbofan,Delta,6,4405,1.6688678455679735,0.0,Nenhuma
Airbus A350,8,29194,Turbofan,LATAM,8,3355,-9.54539559197001,0.0,Nenhuma
Bombardier CRJ,17,20680,Turbojato,Delta,22,1588,30.36543160062638,1.0,Sistemas de Navegação
Airbus A330,12,12680,Turbofan,United,5,3980,-38.07862265446574,0.0,Nenhuma
Boeing 787,27,33502,Turbofan,GOL,8,1381,-19.273367952881046,1.0,Sistema Hidráulico
Airbus A320,8,15872,Turbofan,British,2,119,-27.031190934297804,0.0,Nenhuma
Airbus A350,25,30296,Turboprop,GOL,15,3485,33.0310682913334,1.0,Sistema Hidráulico
Bombardier CRJ,14,24927,Turboprop,Emirates,12,530,-0.25877277602991455,1.0,Sistema de Pouso
Embraer E190,4,33790,Turbojato,British,17,4144,-5.641296269076626,1.0,Pressurização
Embraer E190,1,28599,Turboprop,British,1,3546,-1.7939652214082145,1.0,Pressurização
Boeing 787,1,45986,Turbofan,Emirates,15,2843,42.61358680969849,0.0,Nenhuma
Airbus A330,19,10321,Turboprop,American,14,2942,32.27272851855355,0.0,Nenhuma
Boeing 737,16,6332,Turbojato,Emirates,20,1248,20.041345607276142,0.0,Nenhuma
Airbus A330,14,13320,Turboprop,Azul,22,2422,-15.309288466023357,0.0,Nenhuma
Boeing 787,21,16711,Turbofan,British,16,1942,-25.96029504093194,0.0,Nenhuma
Embraer E190,16,40390,Turbofan,British,9,1933,38.32185846707854,1.0,Sistema de Combustível
Airbus A330,5,6342,Turbojato,Emirates,1,847,-4.038580562298954,0.0,Nenhuma
Embraer E190,9,1816,Turboprop,American,17,67,-16.305757045166523,0.0,Nenhuma
Airbus A350,26,46468,Turboprop,Delta,13,93,0.0282702454990158,1.0,Estrutural
Bombardier CRJ,28,18008,Turboprop,United,21,204,38.017030939729935,1.0,Estrutural
Boeing 737,2,22505,Turbofan,LATAM,21,3498,-7.099278361740076,1.0,Sistemas de Navegação
Airbus A350,18,15706,Turbojato,American,5,4888,7.824484766088453,0.0,Nenhuma
Embraer E190,6,19471,Turboprop,Azul,10,4130,28.25213559422818,0.0,Nenhuma
Embraer E190,9,26099,Turbofan,American,6,1475,-3.6937348608867495,0.0,Nenhuma
Airbus A320,1,22556,Turbofan,GOL,19,4370,-20.148946836258695,0.0,Nenhuma
Airbus A320,9,1878,Turbofan,Delta,13,4362,44.534688612557844,0.0,Nenhuma
Airbus A350,25,2019,Turboprop,Delta,1,3689,41.30852288343357,0.0,Nenhuma
Boeing 777,16,22661,Turboprop,British,20,4176,31.69572937566869,1.0,Sistemas de Navegação
Airbus A350,13,41203,Turboprop,Delta,15,1942,18.511779747803416,1.0,Sistema de Combustível
Airbus A320,9,39361,Turboprop,Delta,14,947,-14.936421614075758,1.0,Sistema de Pouso
Embraer E190,21,5855,Turboprop,Emirates,8,3474,37.64009974394273,1.0,Estrutural
Boeing 787,13,9583,Turboprop,Delta,10,4590,-16.577683039695557,0.0,Nenhuma
Airbus A350,9,38842,Turboprop,Delta,9,1308,28.06880704753077,0.0,Nenhuma
Embraer E190,11,20956,Turboprop,LATAM,17,2065,38.05194427501104,1.0,Pressurização
Boeing 787,4,13824,Turboprop,Azul,9,4883,11.255326436542475,0.0,Nenhuma
Boeing 787,2,2757,Turbofan,British,3,1752,28.259778520750203,0.0,Nenhuma
Airbus A320,29,27864,Turboprop,Emirates,11,923,27.29408343214847,0.0,Nenhuma
Airbus A350,6,25472,Turbojato,Delta,12,615,-23.581591154716712,0.0,Nenhuma
Airbus A330,14,46679,Turbofan,British,10,2068,16.77358025566719,0.0,Nenhuma
Boeing 737,4,27154,Turboprop,Azul,17,1935,-32.0552253631223,0.0,Nenhuma
Airbus A320,6,15733,Turbojato,Emirates,17,2173,3.1672621666859158,0.0,Nenhuma
Airbus A320,19,16387,Turboprop,United,11,4692,-26.20997840805091,1.0,Outros
Airbus A330,6,29820,Turbojato,Delta,22,2364,-4.6102926023033035,0.0,Nenhuma
Boeing 737,2,21308,Turbojato,British,4,4462,30.8034763493672,0.0,Nenhuma
Embraer E190,18,30654,Turbojato,American,7,3933,43.90926636856737,0.0,Nenhuma
Boeing 777,13,35273,Turbojato,Emirates,21,3242,-12.973414308932494,1.0,Sistemas de Navegação
Airbus A350,9,28247,Turbofan,Emirates,14,1909,5.216234396570009,0.0,Nenhuma
Boeing 777,23,11360,Turbofan,British,7,74,3.4603320714915284,1.0,Sistema Hidráulico
Embraer E190,19,43338,Turbojato,Delta,8,3553,41.124128335640606,0.0,Nenhuma
Bombardier CRJ,13,42656,Turboprop,GOL,1,4305,0.6796172567857468,0.0,Nenhuma
Airbus A320,11,18656,Turbojato,LATAM,22,1187,19.424027458974315,0.0,Nenhuma
Boeing 737,1,20860,Turbofan,American,4,1239,38.352084814224725,0.0,Nenhuma
Airbus A320,24,18635,Turboprop,American,12,4848,-8.262822439368595,0.0,Nenhuma
Boeing 787,22,25851,Turbofan,GOL,3,4146,36.680390250857954,1.0,Sistema Hidráulico
Airbus A320,7,30999,Turbofan,Delta,13,3207,37.98377886073615,1.0,Pressurização
Airbus A320,25,47877,Turboprop,Emirates,20,2417,39.106312837206104,1.0,Sistema Hidráulico
Embraer E190,21,24054,Turbojato,Emirates,6,4527,-17.012074234928754,1.0,Sistema Hidráulico
Embraer E190,15,49631,Turbojato,LATAM,11,1791,-5.969774487053527,0.0,Nenhuma
Embraer E190,1,20104,Turbojato,American,23,3738,33.98365219918466,0.0,Nenhuma
Boeing 777,12,17423,Turbojato,LATAM,4,3796,-9.471244936164407,0.0,Nenhuma
Boeing 787,26,48091,Turboprop,American,20,947,11.02150779934793,1.0,Estrutural
Bombardier CRJ,7,9047,Turboprop,Delta,16,4073,-29.965366882895584,1.0,Pressurização
Bombardier CRJ,15,44783,Turboprop,United,7,766,-35.21662601054454,1.0,APU
Embraer E190,21,33502,Turbofan,American,22,4017,-4.980510893165331,1.0,Estrutural
Boeing 737,19,15062,Turboprop,United,11,4071,9.207905270380984,1.0,Pressurização
Boeing 777,28,7980,Turbojato,American,1,3265,-6.620575364489987,0.0,Nenhuma
Airbus A330,29,27172,Turbofan,Emirates,7,440,9.107540463671569,1.0,Sistema Hidráulico
Boeing 737,25,4713,Turbojato,Azul,12,3934,3.782171974601731,1.0,Sistema Hidráulico
Airbus A350,1,10793,Turbojato,Delta,7,1749,18.28511448931645,0.0,Nenhuma
Airbus A350,17,34941,Turboprop,GOL,23,3087,15.210256640558136,1.0,Instrumentos
Boeing 737,17,2600,Turboprop,United,7,282,-3.939115227440695,1.0,Pressurização
Embraer E190,3,45117,Turbojato,GOL,10,1976,-3.875404564311623,1.0,Motor
Airbus A330,12,28672,Turbojato,Delta,16,3181,-28.03384109896028,0.0,Nenhuma
Airbus A330,6,20632,Turbofan,British,8,3356,3.625278628199027,0.0,Nenhuma
Boeing 777,26,18699,Turboprop,GOL,9,2774,9.910225891534225,1.0,Estrutural
